,V32-D4 SV Fence,V32-D4 SV MEM Fence,V32-D4 Prop1,V32-D4 PROP,V32-D4 BASE
axpy,0.9994976587905553,1.0,1.0,1.0,1.0
blackscholes,0.9874108726772102,0.9885294081344654,0.9950304042628088,0.9950304042628088,1.0
canneal,0.7882750620271642,0.8510288953606827,0.9029571276886592,0.9029513866812477,1.0
jacobi-2d,0.8990911099709349,0.9121684472168448,0.9933702508747876,0.9933702508747876,1.0
particlefilter,0.9980394688103126,0.9977010879540583,0.999507763032669,0.9994959762541048,1.0
pathfinder,0.7980319301724378,0.5692361583862632,1.0,1.0,1.0
streamcluster,0.7458637284151365,0.8542857216332289,0.8569951814368512,0.8568618133725248,1.0
swaptions,0.9451544570271873,0.9625142683205236,0.9778475412849605,0.9775442659153705,1.0
spmv,0.9594334975077966,0.990311796638568,0.9900955252389297,0.9900955252389297,1.0
fftw3,0.8990661928353612,0.9268248116479119,0.9354093425610029,0.9354044833358657,1.0
GeoMean,0.9019863978234097,0.9052600595292548,0.9651213136380669,0.9650754105935639,1.0
