,スカラ命令が古いスカラ命令を追い越して発行した回数,スカラ命令が古いベクトル命令を追い越して発行した回数,スカラ命令が古い命令を追い越して発行した回数,ベクトルラ命令が古いスカラ命令を追い越して発行した回数,ベクトルラ命令が古いベクトル命令を追い越して発行した回数,ベクトル命令が古い命令を追い越して発行した回数,全体命令数
axpy,1539,9425,9690,0,1300,1300,178188
blackscholes,116119,116000,183219,0,8800,8800,437905
canneal,152446,64030,164026,5264,17562,18253,280535
jacobi-2d,1469,199090,199399,94,147978,147978,943824
particlefilter,7357091,35226,7376500,6152,20394,25672,11054336
pathfinder,109605,98456,110804,9004,9003,9004,160407
streamcluster,4661837,3325753,5802058,2120618,1706227,2226335,12280113
swaptions,1227618,2095243,2921023,46581,334046,367341,6257230
spmv,26024,61217,61240,43491,85641,86159,1669747
fftw3,21978,84467,86741,4630,58652,58724,346798
dhrystone,539903,444921,624917,9996,14996,19993,1245018
