,V4-D4 PROP,V4-D4 BASE,V8-D4 PROP,V8-D4 BASE,V16-D4 PROP,V16-D4 BASE,V32-D4 PROP,V32-D4 BASE
Fetch,0.07785436680557759,0.07594513302217983,0.05862032490141504,0.057886106020117366,0.05012747552910559,0.049868073055613506,0.047024439028701966,0.046727597520283846
Scalar Rename,0.04152320125952568,0.041265667204730815,0.033107164137128574,0.033008218997313835,0.02988638887607332,0.0298513864765012,0.028787567131157387,0.028747568725046656
Scheduler,0.1242041114629985,0.12381968170898112,0.1139133929722214,0.11376536216438722,0.11349285898495767,0.11344054675004651,0.13390566130338016,0.13384580583133782
Scalar FU + RF,0.11403014372455074,0.10724405584419557,0.09609232022610394,0.09348374455291014,0.08978049700899693,0.08885892751352484,0.0885391006381507,0.08748437534308635
Vector FU,0.2728307379949363,0.262481083703792,0.2752494435765259,0.27127104581810374,0.29094595581566146,0.2895403641774611,0.35779433615316397,0.3561859294106783
Vector RF,0.04998598747723124,0.10529283646409024,0.05269486554934259,0.11078702694223559,0.05697518527985238,0.11957183618127092,0.07335758392067712,0.1534337836259036
Vector Rename,0.0,0.05000758702203636,0.0,0.034508178485786634,0.0,0.025515704939002903,0.0,0.022551323856260068
L1D Cache,0.05888001712971337,0.05721246098632961,0.04960957963202641,0.04960056289599385,0.044852670835989324,0.044564688858384834,0.04398769472625103,0.043657169561796924
Scalar LSU,0.05233906997870843,0.07986921904577388,0.043598709092901,0.06641414893965392,0.039598266805229786,0.05888800489718421,0.03771368204067806,0.054441252126795306
Vector LSU,0.0005736974934509393,0.09686227499789066,0.0004999523558290663,0.08043069058310207,0.00047920720867234334,0.07016822461956174,0.00048133628810462426,0.06812234988228671
