,0,1,2
V2-D2 SV Fence,1.0,,1.0
V4-D2 SV Fence,1.3347703242870357,,1.0265033081043815
V8-D2 SV Fence,1.6672474707553746,,1.0795099243131447
V16-D2 SV Fence,1.7750319639237937,,1.1855231567306712
V2-D2 SV MEM Fence,1.1025903264798391,,1.0
V4-D2 SV MEM Fence,1.4389444191681469,,1.0265033081043815
V8-D2 SV MEM Fence,1.7408025654609571,,1.0795099243131447
V16-D2 SV MEM Fence,1.7872674439410314,,1.1855231567306712
V2-D2 Prop1,1.2448843935287892,,1.128343306445014
V4-D2 Prop1,1.5579138372248045,,1.1548466145493954
V8-D2 Prop1,1.838901480142718,,1.2078532307581586
V16-D2 Prop1,1.8723781372165067,,1.3138664631756851
V2-D2 PROP,1.2442100075213423,0.7432446534791968,1.0352229654777203
V4-D2 PROP,1.5578859583785836,0.5944999426579204,1.0617262735821018
V8-D2 PROP,1.8385974426767202,0.5377827453689221,1.1147328897908653
V16-D2 PROP,1.8722482905079236,0.5176467925572624,1.2207461222083917
V2-D2 BASE,1.5896943962447732,1.0,1.2404287662823297
V4-D2 BASE,1.8145928631898447,0.785395051888556,1.3129358201323431
V8-D2 BASE,1.884251567687274,0.711702191649798,1.45794992783237
V16-D2 BASE,1.90465286528217,0.6767722277088267,1.7479781432324233
