,V2-D2 PROP,V2-D2 BASE,V4-D2 PROP,V4-D2 BASE,V8-D2 PROP,V8-D2 BASE,V16-D2 PROP,V16-D2 BASE
Fetch,0.08447838107945078,0.10110702798213962,0.07134954269661713,0.07903454249072808,0.060301296645734616,0.061892454075337264,0.05156770125819772,0.05233567672353358
Scalar Rename,0.04249184377671537,0.05167468722174308,0.03815179591855112,0.04290972118135049,0.03348721904391979,0.03468778866343077,0.029545609136126444,0.030136654910294092
Scheduler,0.10548227441360195,0.13336505292915146,0.1093823035188001,0.1265131816595672,0.11566953763167662,0.11900522408997602,0.11471811711603448,0.1171475445901953
Scalar FU + RF,0.11473996488850449,0.12751491844344182,0.10898683556981932,0.1156664065660046,0.1027360101639669,0.10452384073944432,0.09731255078846875,0.09818753548099468
Vector FU,0.10041896110664239,0.12057351752469467,0.12240706863911084,0.13795689564491836,0.1448692805019651,0.14772727580089223,0.15408624650489433,0.15666036199516886
Vector RF,0.03280099550386099,0.0919075621013677,0.04286764903246846,0.10717108269746685,0.05370583364662569,0.11619629826940095,0.05796702935405189,0.12457580223918792
Vector Rename,0.0,0.07539220421481233,0.0,0.04907396455812143,0.0,0.034139905850138354,0.0,0.024830647289804966
L1D Cache,0.06164173943285289,0.0698236956208263,0.05381718998233315,0.05825132793135255,0.04986891372168876,0.051623253723493426,0.045480152811895866,0.0460856401512743
Scalar LSU,0.054288930779453314,0.1022397270761162,0.047711691294756706,0.07897771503977238,0.04333027503813179,0.06662879939615503,0.03906750941574836,0.05806852425147495
Vector LSU,0.000569260996418472,0.1264016068857068,0.0005692950372081301,0.09424037419593458,0.000569290248857211,0.07884203063674111,0.0005693306680612638,0.06766905519680064
