,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE
Fetch,0.0073142228,0.0073006128,0.0073006128,0.0073006128,0.0074667228000000006,0.0166093528,0.0170916528,0.0176131528,0.0175324528,0.0259919528,0.0322026528,0.0375530528,0.039735052800000004,0.0397344528,0.0499972528,0.0212993528,0.0228774528,0.0314461528,0.0314461528,0.0343994528,0.037991452800000006,0.038157152800000003,0.0383564528,0.0383484528,0.039238452800000004,0.037831952800000006,0.0393143528,0.0643817528,0.0643817528,0.07606405279999999,0.0294194528,0.0376016528,0.0376691528,0.0376640528,0.048476152800000005,0.0228250528,0.0257621528,0.0265152528,0.0265151528,0.0314991528,0.0100516428,0.0101150428,0.0101167228,0.0101167228,0.0101595028,0.0142703528,0.0161747528,0.0165028528,0.0165028528,0.0286423528
Rename,0.0012080475,0.0012053575,0.0012053575,0.0012053575,0.009676719799999999,0.006548924500000001,0.0067760945,0.0070218845000000005,0.006983884500000001,0.0328034838,0.0246670845,0.0292159845,0.0310709845,0.031070584499999998,0.05537038379999999,0.006165064499999999,0.0066746645,0.0094416745,0.0094416745,0.0558517338,0.030570084499999997,0.0307156845,0.0308908845,0.030883784499999997,0.033024706800000005,0.0239495845,0.0249702845,0.0422317845,0.0422317845,0.1060482838,0.0119524845,0.0156052845,0.0156353845,0.015633084499999998,0.0788321838,0.0145189845,0.0166803845,0.0172345845,0.0172345845,0.0358608838,0.0014647005,0.0014743575,0.0014746135000000002,0.0014746135000000002,0.0161483278,0.0050394445,0.0058622945,0.0060040645,0.0060040645,0.0404963838
Scheduler,0.00362077497,0.0036092649699999996,0.0036092649699999996,0.0036092649699999996,0.00557515265,0.011137306773819999,0.011532307217940001,0.011959307698440001,0.011893207624159999,0.04681502309340001,0.024121074969999996,0.028543134969999998,0.03034647497,0.030346014969999998,0.05049980265,0.01710702097,0.01859121497,0.026650434969999998,0.026650434969999998,0.07115032265,0.03714653497,0.03732329497,0.03753611497,0.037527594969999994,0.03943352165,0.02832509497,0.02953079497,0.04991779497,0.04991779497,0.09644520264999999,0.02351826897,0.03082258697,0.03088281497,0.030878286970000002,0.07283700265000001,0.01543015897,0.01771232897,0.018297588969999997,0.018297586969999998,0.03640230065,0.00601430497,0.006068734970000001,0.006070174970000001,0.006070174970000001,0.011308282650000001,0.009385450711999999,0.010974747120000001,0.011248572344,0.011248572344,0.051740113314
Scalar FU + RF,0.014412034800000001,0.0144083808,0.0144083808,0.0144083808,0.0144529928,0.02140303932314,0.02170168964382,0.02202478999077,0.02197484993714,0.0272127055614,0.0478373308,0.054310110800000005,0.0569496308,0.0569489908,0.06936426080000001,0.0222295508,0.023019450799999997,0.027308420799999997,0.027308420799999997,0.0287866408,0.0654750008,0.0657267908,0.0660300508,0.0660178108,0.0673713008,0.0448408208,0.0462071108,0.06931371080000001,0.06931371080000001,0.08008081080000001,0.0301842168,0.035521690800000005,0.0355656808,0.0355623708,0.0426153608,0.0323712448,0.0352883398,0.036036301800000003,0.0360362918,0.0409863798,0.0147718348,0.0147850618,0.0147854118,0.0147854118,0.0147943348,0.019322832598000002,0.020387138314,0.020570516529,0.020570516529,0.02735505043
Vector FU,0.012621589,0.012612499000000001,0.012612499000000001,0.012612499000000001,0.012723409000000001,0.033505989,0.034380289,0.035326189,0.035179989,0.050514089,0.020521589,0.022452389,0.023239789,0.023239588999999998,0.026943089000000003,0.044630589,0.047727589,0.06454388900000001,0.06454388900000001,0.070339689,0.011425729,0.011431339,0.011438079,0.011437809,0.011467929,0.035367489,0.036460489,0.054944889,0.054944889,0.063557989,0.036923389,0.045432989,0.045503089,0.045497889,0.056742588999999996,0.024262989,0.026422388999999998,0.026975989,0.026975989,0.030640188999999998,0.017474739,0.017547699,0.017549629,0.017549629,0.017598859,0.028681589,0.032027389,0.032603789,0.032603789,0.053931689
Vector FU,0.012621589,0.012612499000000001,0.012612499000000001,0.012612499000000001,0.012723409000000001,0.033505989,0.034380289,0.035326189,0.035179989,0.050514089,0.020521589,0.022452389,0.023239789,0.023239588999999998,0.026943089000000003,0.044630589,0.047727589,0.06454388900000001,0.06454388900000001,0.070339689,0.011425729,0.011431339,0.011438079,0.011437809,0.011467929,0.035367489,0.036460489,0.054944889,0.054944889,0.063557989,0.036923389,0.045432989,0.045503089,0.045497889,0.056742588999999996,0.024262989,0.026422388999999998,0.026975989,0.026975989,0.030640188999999998,0.017474739,0.017547699,0.017549629,0.017549629,0.017598859,0.028681589,0.032027389,0.032603789,0.032603789,0.053931689
Vector RF,0.00194678128,0.00193992128,0.00193992128,0.00193992128,0.0047575571,0.011732031280000001,0.01216713128,0.012637831280000001,0.01256503128,0.0422049171,0.00564233128,0.0066732412800000005,0.00708346128,0.0070833512800000005,0.0193205171,0.017989131279999997,0.01959543128,0.02831683128,0.02831683128,0.0655919171,0.0007675442800000001,0.00076101828,0.0007644592800000001,0.00076432028,0.0020174071,0.01388093128,0.01447813128,0.024577031279999998,0.024577031279999998,0.0617402171,0.015263231280000001,0.02008243128,0.020122131279999997,0.020119131279999997,0.0561175171,0.007372501280000001,0.00848414128,0.00876917128,0.00876917128,0.0225496171,0.00471886128,0.00476471128,0.00476593128,0.00476593128,0.0106034871,0.00956363128,0.01126423128,0.011558231280000001,0.011558231280000001,0.0469896171
L1D Cache,0.0103841714,0.0103594514,0.0103594514,0.0103594514,0.0106614314,0.0061786514,0.006261411400000001,0.0063508314000000005,0.0063369914,0.007788511400000001,0.0186328914,0.021392391400000002,0.0224311314,0.0224313114,0.0277409114,0.0161839914,0.0172973114,0.023095971399999998,0.023095971399999998,0.025135711400000003,0.018877411400000002,0.0188698514,0.0189564314,0.0189527714,0.0193665114,0.027537711399999998,0.028563711400000004,0.045913511399999996,0.045913511399999996,0.0539993114,0.0262335114,0.0333415114,0.0333975114,0.0333931114,0.042787911399999996,0.015757191400000002,0.017574491400000003,0.0180404914,0.0180404714,0.0211243314,0.0124062714,0.0124898114,0.0124921314,0.0124921314,0.0125772114,0.0075553714,0.008141131400000001,0.008251311400000001,0.008251291400000001,0.0123332114
Scalar LSU,0.0014120642000000007,0.001411659200000001,0.0077081293,0.00522764205,0.0128382459,0.0037585312,0.0038507512000000004,0.0057256663,0.004929105050000001,0.008954892899999999,0.0187772642,0.022066744200000002,0.0292794543,0.02670745705,0.0415168999,0.006247304200000001,0.006697354199999998,0.0216815743,0.016835167050000002,0.0349456399,0.024272934199999995,0.024384094199999998,0.025840636300000004,0.02519105905,0.0265638279,0.020238804200000002,0.021063244199999998,0.0562690943,0.04815383705000001,0.08776570990000002,0.010548314200000002,0.013499314200000001,0.036560364299999995,0.027772587049999995,0.0728463899,0.0154032242,0.0175781242,0.0220631643,0.020474667050000006,0.029557329900000005,0.0014732990000000004,0.0014749213000000002,0.013908905300000001,0.00859366805,0.0228577613,0.0020798451999999995,0.0022202022000000006,0.006906145300000001,0.0047158270499999995,0.015675549900000002
Vector LSU,0.00014234600000000153,0.00014239600000000296,0.00014239600000000296,0.00014239600000000296,0.01938140018,0.00014236700000000088,0.0001423710000000005,0.00014236000000000023,0.00014236700000000001,0.00897969018,0.00014236599999999967,0.00014239600000000123,0.00014238599999999782,0.0001423959999999995,0.04241710018,0.00014232599999999818,0.00014244599999999746,0.00014231599999999997,0.00014231599999999997,0.04912599018,0.00014236700000000001,0.0001423679999999995,0.00014236700000000088,0.00014236700000000001,0.02143877318,0.0001423259999999947,0.00014244599999999746,0.00014246599999999388,0.00014246599999999388,0.11113108018,0.000142266000000002,0.00014246600000000081,0.00014236600000000488,0.00014236600000001182,0.10699118018000002,0.0001423660000000014,0.00014236599999999967,0.00014237599999999961,0.00014237599999999961,0.030117660180000005,0.00014231600000000344,0.00014241599999999938,0.00014230600000000176,0.00014230600000000176,0.02951184018,0.00014236599999999794,0.00014233600000000159,0.0001423860000000013,0.00014239600000000296,0.021883690180000005
