,V32-D4 PROP
axpy,"{'Fetch': 0.0040429408, 'Rename': 0.0005610856000000001, 'Scheduler': 0.00085284097, 'Scalar FU + RF': 0.0135335438, 'Vector FU': 0.025941518, 'Vector RF': 0.00172396128, 'L1D Cache': 0.0069627114, 'Scalar LSU': 0.0030492842500000005, 'Vector LSU': 0.00014237599999999961}"
blackscholes,"{'Fetch': 0.0112151828, 'Rename': 0.0062493845, 'Scheduler': 0.0069332424132, 'Scalar FU + RF': 0.0212516622777, 'Vector FU': 0.24670697800000002, 'Vector RF': 0.05610803128, 'L1D Cache': 0.008347251400000002, 'Scalar LSU': 0.00759203905, 'Vector LSU': 0.00014237900000000064}"
canneal,"{'Fetch': 0.0399731528, 'Rename': 0.0314906845, 'Scheduler': 0.03117901497, 'Scalar FU + RF': 0.059401070800000004, 'Vector FU': 0.258690978, 'Vector RF': 0.05969583128, 'L1D Cache': 0.0276563114, 'Scalar LSU': 0.031888707050000006, 'Vector LSU': 0.00014242599999999758}"
jacobi-2d,"{'Fetch': 0.0086844628, 'Rename': 0.0027374445, 'Scheduler': 0.00523046897, 'Scalar FU + RF': 0.016918994800000003, 'Vector FU': 0.267106978, 'Vector RF': 0.06175683128, 'L1D Cache': 0.012555971400000001, 'Scalar LSU': 0.007423479049999999, 'Vector LSU': 0.00014244599999999746}"
particlefilter,"{'Fetch': 0.038492852800000005, 'Rename': 0.0294497845, 'Scheduler': 0.03791115497, 'Scalar FU + RF': 0.0652769408, 'Vector FU': 0.022833058, 'Vector RF': 0.0007456392800000001, 'L1D Cache': 0.019247731400000002, 'Scalar LSU': 0.02564244685, 'Vector LSU': 0.0001423662000000006}"
pathfinder,"{'Fetch': 0.0166758528, 'Rename': 0.0093006445, 'Scheduler': 0.01057615497, 'Scalar FU + RF': 0.0255850008, 'Vector FU': 0.242222978, 'Vector RF': 0.05649263128, 'L1D Cache': 0.023234171400000003, 'Scalar LSU': 0.01870820705, 'Vector LSU': 0.00014233599999999638}"
streamcluster,"{'Fetch': 0.0232492528, 'Rename': 0.0148600845, 'Scheduler': 0.01703113297, 'Scalar FU + RF': 0.0352261708, 'Vector FU': 0.240616978, 'Vector RF': 0.055676731279999996, 'L1D Cache': 0.0236400514, 'Scalar LSU': 0.02277953705, 'Vector LSU': 0.00014236599999999794}"
swaptions,"{'Fetch': 0.012648602799999999, 'Rename': 0.006884004500000001, 'Scheduler': 0.00754527877, 'Scalar FU + RF': 0.0222276628, 'Vector FU': 0.215185378, 'Vector RF': 0.04876563128, 'L1D Cache': 0.0139590514, 'Scalar LSU': 0.010894017050000001, 'Vector LSU': 0.0001423860000000013}"
spmv,"{'Fetch': 0.0042988738, 'Rename': 0.0006462145, 'Scheduler': 0.00106966597, 'Scalar FU + RF': 0.0136496612, 'Vector FU': 0.039433718, 'Vector RF': 0.005318031280000001, 'L1D Cache': 0.0081045914, 'Scalar LSU': 0.004866105849999999, 'Vector LSU': 0.00014235600000000147}"
fftw3,"{'Fetch': 0.0067189928, 'Rename': 0.0020126545, 'Scheduler': 0.0030683818899999997, 'Scalar FU + RF': 0.015416454589999998, 'Vector FU': 0.17688777800000002, 'Vector RF': 0.03926523128, 'L1D Cache': 0.0096170914, 'Scalar LSU': 0.0049399210500000006, 'Vector LSU': 0.0001424060000000029}"
